Source,Destination,Variable Transportation Cost
SP:0007:Vne,CZ:0028,3.32000
SP:0007:Vne,CZ:0029,3.32000
SP:0007:Vne,CZ:0030,3.32000
SP:0007:Vne,CZ:0031,3.32000
SP:0007:Vne,CZ:0032,3.32000
SP:0007:Vne,CZ:0033,3.32000
SP:0007:Vne,CZ:0034,3.32000
SP:0007:Vne,CZ:0035,3.32000
SP:0007:Vne,CZ:0036,3.32000
SP:0007:Vne,CZ:0037,3.32000
SP:0007:Vne,CZ:0038,3.32000
SP:0007:Vne,CZ:0039,3.32000
SP:0007:Vne,CZ:0040,3.32000
SP:0007:Vne,CZ:0041,3.32000
SP:0007:Vne,CZ:0042,3.32000
SP:0007:Vne,CZ:0043,3.32000
SP:0007:Vne,CZ:0044,3.32000
SP:0007:Vne,CZ:0045,3.32000
SP:0007:Vne,CZ:0046,3.32000
SP:0007:Vne,CZ:0047,3.32000
SP:0007:Vne,CZ:0048,3.32000
SP:0007:Vne,CZ:0049,3.32000
SP:0007:Vne,CZ:0050,3.32000
SP:0008:Vne,CZ:0001,6.55000
SP:0008:Vne,CZ:0002,6.55000
SP:0008:Vne,CZ:0003,6.55000
SP:0008:Vne,CZ:0004,6.55000
SP:0008:Vne,CZ:0005,6.55000
SP:0008:Vne,CZ:0006,6.55000
SP:0008:Vne,CZ:0007,6.55000
SP:0008:Vne,CZ:0008,6.55000
SP:0008:Vne,CZ:0009,6.55000
SP:0008:Vne,CZ:0010,6.55000
SP:0008:Vne,CZ:0011,6.55000
SP:0008:Vne,CZ:0012,6.55000
SP:0008:Vne,CZ:0013,6.55000
SP:0008:Vne,CZ:0014,6.55000
SP:0008:Vne,CZ:0015,6.55000
SP:0008:Vne,CZ:0016,6.55000
SP:0008:Vne,CZ:0017,6.55000
SP:0008:Vne,CZ:0018,6.55000
SP:0008:Vne,CZ:0019,6.55000
SP:0008:Vne,CZ:0020,6.55000
SP:0008:Vne,CZ:0021,6.55000
SP:0008:Vne,CZ:0022,6.55000
SP:0008:Vne,CZ:0023,6.55000
SP:0008:Vne,CZ:0024,6.55000
SP:0008:Vne,CZ:0025,6.55000
SP:0008:Vne,CZ:0026,6.55000
SP:0008:Vne,CZ:0027,6.55000
SP:0008:Vne,CZ:0028,6.55000
SP:0008:Vne,CZ:0029,6.55000
SP:0008:Vne,CZ:0030,6.55000
SP:0008:Vne,CZ:0031,6.55000
SP:0008:Vne,CZ:0032,6.55000
SP:0008:Vne,CZ:0033,6.55000
SP:0008:Vne,CZ:0034,6.55000
SP:0008:Vne,CZ:0035,6.55000
SP:0008:Vne,CZ:0036,6.55000
SP:0008:Vne,CZ:0037,6.55000
SP:0008:Vne,CZ:0038,6.55000
SP:0008:Vne,CZ:0039,6.55000
SP:0008:Vne,CZ:0040,6.55000
SP:0008:Vne,CZ:0041,6.55000
SP:0008:Vne,CZ:0042,6.55000
SP:0008:Vne,CZ:0043,6.55000
SP:0008:Vne,CZ:0044,6.55000
SP:0008:Vne,CZ:0045,6.55000
SP:0008:Vne,CZ:0046,6.55000
SP:0008:Vne,CZ:0047,6.55000
SP:0008:Vne,CZ:0048,6.55000
SP:0008:Vne,CZ:0049,6.55000
SP:0008:Vne,CZ:0050,6.55000
SP:0009:Vne,CZ:0001,6.55000
SP:0009:Vne,CZ:0002,6.55000
SP:0009:Vne,CZ:0003,6.55000
SP:0009:Vne,CZ:0004,6.55000
SP:0009:Vne,CZ:0005,6.55000
SP:0009:Vne,CZ:0006,6.55000
SP:0009:Vne,CZ:0007,6.55000
SP:0009:Vne,CZ:0008,6.55000
SP:0009:Vne,CZ:0009,6.55000
SP:0009:Vne,CZ:0010,6.55000
SP:0009:Vne,CZ:0011,6.55000
SP:0009:Vne,CZ:0012,6.55000
SP:0009:Vne,CZ:0013,6.55000
SP:0009:Vne,CZ:0014,6.55000
SP:0009:Vne,CZ:0015,6.55000
SP:0009:Vne,CZ:0016,6.55000
SP:0009:Vne,CZ:0017,6.55000
SP:0009:Vne,CZ:0018,6.55000
SP:0009:Vne,CZ:0019,6.55000
SP:0009:Vne,CZ:0020,6.55000
SP:0009:Vne,CZ:0021,6.55000
SP:0009:Vne,CZ:0022,6.55000
SP:0009:Vne,CZ:0023,6.55000
SP:0009:Vne,CZ:0024,6.55000
SP:0009:Vne,CZ:0025,6.55000
SP:0009:Vne,CZ:0026,6.55000
SP:0009:Vne,CZ:0027,6.55000
SP:0009:Vne,CZ:0028,6.55000
SP:0009:Vne,CZ:0029,6.55000
SP:0009:Vne,CZ:0030,6.55000
SP:0009:Vne,CZ:0031,6.55000
SP:0009:Vne,CZ:0032,6.55000
SP:0009:Vne,CZ:0033,6.55000
SP:0009:Vne,CZ:0034,6.55000
SP:0009:Vne,CZ:0035,6.55000
SP:0009:Vne,CZ:0036,6.55000
SP:0009:Vne,CZ:0037,6.55000
SP:0009:Vne,CZ:0038,6.55000
SP:0009:Vne,CZ:0039,6.55000
SP:0009:Vne,CZ:0040,6.55000
SP:0009:Vne,CZ:0041,6.55000
SP:0009:Vne,CZ:0042,6.55000
SP:0009:Vne,CZ:0043,6.55000
SP:0009:Vne,CZ:0044,6.55000
SP:0009:Vne,CZ:0045,6.55000
SP:0009:Vne,CZ:0046,6.55000
SP:0009:Vne,CZ:0047,6.55000
SP:0009:Vne,CZ:0048,6.55000
SP:0009:Vne,CZ:0049,6.55000
SP:0009:Vne,CZ:0050,6.55000
SP:0010:Vne,CZ:0001,3.33000
SP:0010:Vne,CZ:0002,3.33000
SP:0010:Vne,CZ:0003,3.33000
SP:0010:Vne,CZ:0004,3.33000
SP:0010:Vne,CZ:0005,3.33000
SP:0010:Vne,CZ:0006,3.33000
SP:0010:Vne,CZ:0007,3.33000
SP:0010:Vne,CZ:0008,3.33000
SP:0010:Vne,CZ:0009,3.33000
SP:0010:Vne,CZ:0010,3.33000
SP:0010:Vne,CZ:0011,3.33000
SP:0010:Vne,CZ:0012,3.33000
SP:0010:Vne,CZ:0013,3.33000
SP:0010:Vne,CZ:0014,3.33000
SP:0010:Vne,CZ:0015,3.33000
SP:0010:Vne,CZ:0016,3.33000
SP:0010:Vne,CZ:0017,3.33000
SP:0010:Vne,CZ:0018,3.33000
SP:0010:Vne,CZ:0019,3.33000
SP:0010:Vne,CZ:0020,3.33000
SP:0010:Vne,CZ:0021,3.33000
SP:0010:Vne,CZ:0022,3.33000
SP:0010:Vne,CZ:0023,3.33000
SP:0010:Vne,CZ:0024,3.33000
SP:0010:Vne,CZ:0025,3.33000
SP:0010:Vne,CZ:0026,3.33000
SP:0010:Vne,CZ:0027,3.33000
SP:0010:Vne,CZ:0028,3.33000
SP:0010:Vne,CZ:0029,3.33000
SP:0010:Vne,CZ:0030,3.33000
SP:0010:Vne,CZ:0031,3.33000
SP:0010:Vne,CZ:0032,3.33000
SP:0010:Vne,CZ:0033,3.33000
SP:0010:Vne,CZ:0034,3.33000
SP:0010:Vne,CZ:0035,3.33000
SP:0010:Vne,CZ:0036,3.33000
SP:0010:Vne,CZ:0037,3.33000
SP:0010:Vne,CZ:0038,3.33000
SP:0010:Vne,CZ:0039,3.33000
SP:0010:Vne,CZ:0040,3.33000
SP:0010:Vne,CZ:0041,3.33000
SP:0010:Vne,CZ:0042,3.33000
SP:0010:Vne,CZ:0043,3.33000
SP:0010:Vne,CZ:0044,3.33000
SP:0010:Vne,CZ:0045,3.33000
SP:0010:Vne,CZ:0046,3.33000
SP:0010:Vne,CZ:0047,3.33000
SP:0010:Vne,CZ:0048,3.33000
SP:0010:Vne,CZ:0049,3.33000
SP:0010:Vne,CZ:0050,3.33000
